Drink_ID,Drink_Name,Drink_Tags,Category,Alcoholic,Glass_Type,Instructions,strDrinkThumb,CreativeCommons,Date_Modified
13194,Damned if you do,,Shot,Alcoholic,Shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,No,8/24/2017 9:58
11326,Dubonnet Cocktail,,Ordinary Drink,Alcoholic,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/pfz3hz1582483111.jpg,Yes,8/13/2015 10:12
12736,Drinking Chocolate,,Cocoa,Non alcoholic,Coffee mug,Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate use 4 oz of milk 4 oz of cream 4 oz of chocolate. Serve in coffee mug.,https://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,No,2/20/2017 15:06
178334,Death in the Afternoon,Drunk,Cocktail,Alcoholic,Margarita glass,Easy as you like pour the absinthe into a chilled glass top with champagne. Must be drunk mid afternoon for the optimum effect.,https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg,No,
12668,Egg Cream,,Other / Unknown,Non alcoholic,Coffee mug,Mix syrup and milk in a fountain glass. Add soda water serve with a straw.,https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,No,1/14/2017 21:47
12910,Egg Nog #4,,Punch / Party Drink,Optional alcohol,Punch bowl,In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar beating at high speed till thick and lemon colored. Stir in milk stir in rum bourbon vanilla and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog prepare Eggnog as above except omit the bourbon and rum and increase the milk to 3 cups.,https://www.thecocktaildb.com/images/media/drink/wpspsy1468875747.jpg,No,7/18/2016 22:02
11338,English Highball,,Ordinary Drink,Alcoholic,Highball glass,Pour brandy gin and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel stir and serve. (Ginger ale may be substituted for carbonated water if preferred.),https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,No,9/4/2017 11:09
17212,Espresso Martini,IBANewEra,Cocktail,Alcoholic,Cocktail glass,Pour ingredients into shaker filled with ice shake vigorously and strain into chilled martini glass,https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,No,9/2/2017 18:22
178309,Espresso Rumtini,DinnerPartyStrongFlavor,Cocktail,Alcoholic,Cocktail glass,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg,Yes,
12916,Egg Nog - Healthy,,Punch / Party Drink,Optional alcohol,Collins Glass,Whip egg substitute and sugar together combine with the two kinds of milk vanilla and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.,https://www.thecocktaildb.com/images/media/drink/qxuppv1468875308.jpg,No,7/18/2016 21:55
11339,English Rose Cocktail,,Ordinary Drink,Alcoholic,Cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,No,9/2/2015 16:44
178346,Elderflower Caipirinha,Brazilian,Cocktail,Alcoholic,Collins glass,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg,No,
12914,Egg-Nog - Classic Cooked,,Punch / Party Drink,Optional alcohol,Pitcher,In large saucepan beat together eggs sugar and salt if desired. Stir in 2 cups of the milk. Cook over low heat stirring constantly until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled several hours or overnight. Just before serving pour into bowl or pitcher. Garnish or add stir-ins if desired. Choose 1 or several of: Chocolate curls cinnamon sticks extracts of flavorings flavored brandy or liqueur fruit juice or nectar ground nutmeg maraschino cherries orange slices peppermint sticks or candy canes plain brandy run or whiskey sherbet or ice-cream whipping cream whipped. Serve immediately.,https://www.thecocktaildb.com/images/media/drink/quxsvt1468875505.jpg,No,7/18/2016 21:58
17246,Empellón Cocina's Fat-Washed Mezcal,,Cocktail,Alcoholic,Beer Glass,"To ensure that your pork fat is just as delicious as theirs here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles 8 guajillo chiles and 4 chipotle chiles plus 4 cloves roasted garlic half a cup of cider vinegar a quarter teaspoon of Mexican oregano 1 teaspoon of ground black pepper a whole clove a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another smaller pan with pork ribs above the charcoal/woodchip pan. Ignite the charcoal being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes until desired level of smoke is achieved then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake then put it in the freezer overnight. When the whole thing is separated and congealed pour it through a fine mesh chinoise. If you don’t have a chinoise try a fine mesh strainer or if you don’t have one of those try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture.",https://www.thecocktaildb.com/images/media/drink/osgvxt1513595509.jpg,No,12/18/2017 11:11
178352,Frosé,Cold Frozen Summer,Cocktail,Alcoholic,Cocktail glass,"Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol) at least 6 hours.

Step 2
Meanwhile bring sugar and ½ cup water to a boil in a medium saucepan; cook stirring constantly until sugar dissolves about 3 minutes. Add strawberries remove from heat and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice 3½ ounces strawberry syrup and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency) 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.",https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg,Yes,
12768,Frappé,,Coffee / Tea,Non alcoholic,Highball Glass,Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy add more milk or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass so you will find that you can sit and drink this for about 1/2 hour with more iced coffee continually appearing at the bottom. Very refreshing.,https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,No,9/3/2015 3:05
11375,Foxy Lady,,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice strain into a chilled cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,No,9/4/2017 11:10
