Drink_ID,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11
178347,1 2/3 oz,1/4 oz,3/4 oz,1/2 oz,1/2 oz,Dash,,,,,
11004,2 oz ,Juice of 1/2 ,1/2 tsp ,1,1/2 slice ,,,,,,
12528,2 oz ,1 oz ,,,,,,,,,
178348,2 shots,Top,Juice of 1,1 tsp,Dash,,,,,,
178326,1,1,750 ml,1 cup,1 cup,3 shots,Top,,,,
16158,1 cup ,2 oz ,1/4 cup ,3 tblsp fresh ,,,,,,,
12474,3/4 oz ,3/4 oz ,1 tblsp ,,,,,,,,
17219,3 cl,1.5 cl,1.5 cl,1.5 cl,,,,,,,
12728,1 cup ,1 cup ,,,,,,,,,
15328,2 cl ,2 cl ,2 cl ,,,,,,,,
14888,4 shots ,4 shots ,,,,,,,,,
15691,,,," slice
",,,,,,,
17241,1 1/2 oz,1 1/2 oz,1 oz,1 tsp,1 tsp,1 tsp,1 drop,,,,
15933,1 1/2 oz ,Add 10 oz ,cubes,,,,,,,,
16963,1 1/4 oz Stoli ,1/4 oz ,,,,,,,,,
15254,1/2 oz ,1/2 oz ,,,,,,,,,
16942,1 shot ,1 shot ,Fill with ,,,,,,,,
17027,12 oz ,3 oz ,,,,,,,,,
14594,5 cl ,2 cl ,cubes," or lime
",,,,,,,
15801,1.5 oz ,12 oz ,,,,,,,,,
14065,2 oz ,2 oz ,4 oz Grape ,,,,,,,,
14157,4 cl ,16 cl ,,,,,,,,,
